bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
refrigerante,sabor catupiry,calabresa,presunto,tomate,alho,cebola,massa tradicional,mussarela,cheddar
vinho tinto,borda tradicional,cogumelos,carne seca,azeite de oliva,presunto,tomate seco,massa tradicional,queijo brie,ricota
suco de uva,sabor catupiry,bacon,frango,carne seca,linguiça calabresa defumada,calabresa,massa tradicional,catupiry,gorgonzola
cerveja,sabor catupiry,tomate,azeitona,presunto,bacon,linguiça calabresa defumada,massa grossa,parmesão,mussarela
refrigerante,borda tradicional,bacon,azeitona,orégano,pimenta calabresa,calabresa,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,bacon,ovo,tomate,milho,presunto,massa tradicional,parmesão,mussarela
suco de laranja,borda tradicional,calabresa,cebolinha,presunto,tomate,bacon,massa tradicional,catupiry,mussarela
água com gás,sabor catupiry,calabresa,cebola,NA,NA,NA,massa final,mussarela,NA
suco de abacaxi,cheddar,alho,cogumelos,pimentão,azeitona,pepperoni,massa tradicional,gorgonzola,cheddar
refrigerante,cream cheese,presunto,calabresa,frango,bacon,tomate,massa tradicional,mussarela,cheddar
suco de laranja,sabor catupiry,bacon,alho,cogumelos,pimenta calabresa,queijo cheddar,massa grossa,mussarela,queijo brie
cerveja,sabor catupiry,bacon,frango,calabresa,calabresa,tomate seco,massa tradicional,provolone,gorgonzola
suco de laranja,sabor catupiry,frango,bacon,cebola caramelizada,pimenta calabresa,azeitona,massa tradicional,mussarela,gorgonzola
vinho tinto,borda tradicional,nozes,cebola,alho,amêndoas,NA,massa tradicional,mussarela,provolone
suco de abacaxi,sabor catupiry,presunto,carne seca,azeitona,palmito,bacon,massa tradicional,mussarela,ricota
suco de laranja,borda tradicional,tomate,bacon,frango,calabresa,ovo,massa tradicional,parmesão,mussarela
refrigerante,cream cheese,presunto,tomate,azeitona,bacon,amêndoas,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,pepperoni,tomate,rúcula,azeitona,queijo cheddar,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,tomate,bacon,cebola,azeitona,azeite de oliva,massa tradicional,mussarela,gorgonzola
refrigerante,sabor catupiry,queijo de cabra,pepperoni,orégano,pepperoni,queijo roquefort,massa tradicional,gorgonzola,cheddar
suco de laranja,borda tradicional,abacaxi,azeitona,presunto,tomate,frango,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,presunto,tomate,azeitona,orégano,alho,massa tradicional,mussarela,catupiry
suco de abacaxi,cheddar,cogumelos,azeitona,abacaxi,alho-poró,cebola caramelizada,massa integral,queijo brie,parmesão
refrigerante,borda tradicional,pepperoni,bacon,frango,linguiça calabresa defumada,NA,massa tradicional,mussarela,mussarela
