bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
água com gás,borda tradicional,pepperoni,milho,bacon,orégano,pimenta calabresa,massa final,mussarela,parmesão
suco de abacaxi,cheddar,alcaparra,frango,bacon,tomate seco,presunto,massa final,queijo coalho,cheddar
vinho tinto,borda tradicional,pepperoni,NA,NA,NA,NA,massa final,NA,NA
refrigerante,borda tradicional,cebola,tomate,azeitona,bacon,calabresa,massa tradicional,NA,NA
suco de abacaxi,borda tradicional,tomate,azeite de oliva,calabresa,calabresa,orégano,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,tomate,cebola,calabresa,azeitona,orégano,massa tradicional,mussarela,parmesão
água com gás,cheddar,bacon,frango,pimenta biquinho,cebolinha,cebola caramelizada,massa tradicional,queijo brie,gorgonzola
suco de laranja,sabor catupiry,cebola,cogumelos,tomate,azeitona,brócolis,massa tradicional,gorgonzola,cheddar
chá gelado,cheddar,tomate,cogumelos,presunto,frango,carne seca,massa tradicional,cheddar,catupiry
suco de uva,cream cheese,tomate,pepperoni,azeitona,orégano,cebola caramelizada,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,queijo de cabra,queijo roquefort,tofu,calabresa,cebola caramelizada,massa integral,gorgonzola,queijo coalho
suco de maracujá,cheddar,tomate,cebola,bacon,carne seca,linguiça calabresa defumada,massa grossa,catupiry,mussarela
chá gelado,cream cheese,pepperoni,bacon,cebola caramelizada,cogumelos,espinafre,massa grossa,gorgonzola,parmesão
refrigerante,cream cheese,presunto,palmito,bacon,milho,pimentão assado,massa grossa,mussarela,parmesão
refrigerante,borda tradicional,calabresa,bacon,cebolinha,pimentão,cebola,massa final,mussarela,mussarela
refrigerante,borda tradicional,alho,linguiça calabresa defumada,NA,palmito,NA,massa tradicional,cheddar,mussarela
água com gás,borda tradicional,rúcula,nozes,azeitona,NA,NA,massa final,ricota,NA
suco de laranja,sabor catupiry,pepperoni,frango,rúcula,linguiça calabresa defumada,bacon,massa final,gorgonzola,provolone
cerveja,borda tradicional,pepperoni,cebola,rúcula,azeitona,orégano,massa final,mussarela,parmesão
chá gelado,borda tradicional,brócolis,cogumelos,alho,azeitona,NA,massa final,queijo brie,parmesão
refrigerante,borda tradicional,calabresa,brócolis,frango,tomate,pepperoni,massa final,mussarela,cheddar
suco de abacaxi,sabor catupiry,cogumelos,azeitona,orégano,pepperoni,cebola,massa tradicional,parmesão,cheddar
cerveja,sabor catupiry,azeitona,tomate,pimentão,bacon,calabresa,massa tradicional,cheddar,parmesão
refrigerante,borda tradicional,frango,carne seca,presunto,azeitona,alho-poró,massa grossa,mussarela,provolone
limonada,borda tradicional,rúcula,cogumelos,palmito,presunto,azeitona,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,azeitona,alho,calabresa,pimenta calabresa,cebola,massa tradicional,mussarela,cheddar
refrigerante,borda tradicional,cogumelos,milho,bacon,azeitona,NA,massa tradicional,mussarela,gorgonzola
NA,borda tradicional,cebola,pepperoni,orégano,NA,NA,massa tradicional,mussarela,gorgonzola
cerveja,borda tradicional,pepperoni,alcaparra,azeite de oliva,brócolis,bacon,massa final,gorgonzola,queijo brie
chá gelado,sabor catupiry,alho,pepperoni,tomate,azeitona,orégano,massa tradicional,mussarela,gorgonzola
suco de maracujá,borda tradicional,pepperoni,bacon,frango,orégano,linguiça,massa final,mussarela,queijo brie
chá gelado,cream cheese,calabresa,bacon,palmito,queijo gouda,cebola,massa tradicional,mussarela,catupiry
vinho tinto,sabor catupiry,calabresa,presunto,tomate,cebola,rúcula,massa final,mussarela,catupiry
vinho tinto,sabor catupiry,pepperoni,bacon,orégano,NA,NA,massa tradicional,mussarela,catupiry
vinho tinto,borda tradicional,queijo gouda,azeitona,tomate seco,orégano,azeite de oliva,massa tradicional,gorgonzola,mussarela
vinho tinto,sabor catupiry,bacon,queijo cheddar,queijo coalho grelhado,cogumelos,pepperoni,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,pimentão,cebola,carne seca,orégano,NA,massa final,mussarela,cheddar
suco de laranja,cheddar,azeite de oliva,abobrinha,cebola,alho,presunto,massa final,cheddar,provolone
vinho tinto,sabor catupiry,cogumelos,picles,azeitona,alho,brócolis,massa tradicional,queijo coalho,mussarela
chá gelado,sabor catupiry,rúcula,palmito,alcaparra,pimentão,cogumelos,massa integral,mussarela,provolone
refrigerante,borda tradicional,pepperoni,tomate,NA,NA,NA,massa tradicional,mussarela,NA
chá gelado,sabor catupiry,calabresa,bacon,tomate seco,NA,pimenta biquinho,massa grossa,mussarela,mussarela
refrigerante,cream cheese,pepperoni,azeitona,berinjela,bacon,cebola caramelizada,massa tradicional,gorgonzola,provolone
suco de laranja,cheddar,carne seca,presunto,bacon,calabresa,abacaxi,massa final,mussarela,cheddar
chá gelado,sabor catupiry,carne seca,cebola,pepperoni,pimentão,tomate,massa tradicional,mussarela,cheddar
cerveja,borda tradicional,tomate,azeitona,cogumelos,cebola,presunto,massa final,parmesão,mussarela
suco de laranja,sabor catupiry,linguiça calabresa defumada,frango,milho,espinafre,bacon,massa tradicional,mussarela,cheddar
limonada,cream cheese,bacon,calabresa,camarão,ovo,presunto,massa final,parmesão,catupiry
refrigerante,sabor catupiry,pepperoni,frango,calabresa,queijo coalho grelhado,linguiça calabresa defumada,massa tradicional,mussarela,gorgonzola
suco de laranja,sabor catupiry,presunto,calabresa,tomate,orégano,azeitona,massa final,mussarela,catupiry
suco de laranja,borda tradicional,cogumelos,palmito,cebola caramelizada,palmito,tomate,massa grossa,provolone,parmesão
água com gás,sabor catupiry,cogumelos,bacon,calabresa,alho,cebola caramelizada,massa tradicional,mussarela,gorgonzola
suco de uva,sabor catupiry,azeite de oliva,alho,bacon,NA,NA,massa grossa,mussarela,NA
cerveja,sabor catupiry,cebola,tomate,azeitona,pimentão,calabresa,massa tradicional,catupiry,gorgonzola
vinho tinto,borda tradicional,tomate,azeitona,azeite de oliva,salsinha,calabresa,massa final,mussarela,parmesão
refrigerante,borda tradicional,queijo gouda,calabresa,pimenta calabresa,calabresa,queijo gouda,massa final,mussarela,gorgonzola
suco de maracujá,borda tradicional,cogumelos,pimentão,azeitona,frango,alho,massa tradicional,catupiry,cheddar
NA,sabor catupiry,milho,carne seca,cogumelos,pepperoni,orégano,massa tradicional,provolone,parmesão
suco de laranja,borda tradicional,bacon,ovo,linguiça calabresa defumada,milho,ervilha,massa grossa,mussarela,provolone
água com gás,borda tradicional,linguiça,cebola,cogumelos,rúcula,tomate seco,massa final,gorgonzola,queijo brie
cerveja,borda tradicional,tomate,pimenta biquinho,calabresa,bacon,cebola caramelizada,massa final,parmesão,gorgonzola
suco de maracujá,borda tradicional,tomate,pimentão assado,cogumelos,cogumelos,azeitona,massa final,mussarela,mussarela
cerveja,borda tradicional,pepperoni,alho,azeitona,orégano,cebola,massa final,mussarela,parmesão
água com gás,borda tradicional,palmito,NA,NA,NA,NA,massa final,mussarela,parmesão
suco de laranja,borda tradicional,calabresa,mel,NA,NA,NA,massa tradicional,mussarela,gorgonzola
vinho tinto,borda tradicional,carne seca,cogumelos,pepperoni,espinafre,azeitona,massa tradicional,mussarela,queijo coalho
refrigerante,cream cheese,pepperoni,tomate seco,alho,azeite de oliva,carne seca,massa tradicional,gorgonzola,queijo coalho
refrigerante,sabor catupiry,presunto,calabresa,tomate seco,palmito,cebola,massa tradicional,mussarela,catupiry
cerveja,sabor catupiry,pimentão,alho,anchova,alcaparra,azeitona,massa integral,provolone,gorgonzola
refrigerante,borda tradicional,cebola,bacon,calabresa,tomate,cebola,massa final,queijo brie,catupiry
refrigerante,borda tradicional,tomate,alho,frango,bacon,camarão,massa final,cheddar,parmesão
suco de abacaxi,sabor catupiry,cogumelos,brócolis,bacon,tomate seco,alho-poró,massa tradicional,mussarela,catupiry
cerveja,borda tradicional,cebola,tomate,cebola,cogumelos,bacon,massa tradicional,gorgonzola,mussarela
suco de laranja,sabor catupiry,calabresa,bacon,cebola,palmito,pepperoni,massa tradicional,mussarela,catupiry
água com gás,sabor catupiry,presunto,cogumelos,cebola,NA,NA,massa final,mussarela,NA
suco de laranja,cream cheese,cebola,brócolis,palmito,alho-poró,carne seca,massa tradicional,mussarela,gorgonzola
vinho tinto,cheddar,bacon,espinafre,cebola,cogumelos,brócolis,massa integral,cheddar,catupiry
refrigerante,borda tradicional,alho,azeitona,brócolis,tomate seco,NA,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,frango,azeitona,cebola,milho,NA,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,tomate,NA,cogumelos,rúcula,salsinha,massa grossa,queijo brie,provolone
suco de laranja,sabor catupiry,cebola,carne moída,azeite de oliva,azeitona,tomate,massa tradicional,mussarela,catupiry
limonada,cheddar,alho,azeitona,tomate,cebola,cogumelos,massa integral,NA,NA
água com gás,sabor catupiry,tomate seco,cebola,brócolis,cogumelos,pepperoni,massa tradicional,mussarela,gorgonzola
refrigerante,sabor catupiry,tomate,frango,cebola,pepperoni,palmito,massa tradicional,mussarela,catupiry
chá gelado,borda tradicional,abobrinha,cogumelos,cebola,tomate seco,atum,massa final,gorgonzola,parmesão
refrigerante,borda tradicional,pepperoni,cebola,bacon,palmito,tomate seco,massa tradicional,gorgonzola,parmesão
água com gás,borda tradicional,azeitona,calabresa,bacon,pimenta calabresa,cebola,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,calabresa,cebola,ovo,NA,NA,massa tradicional,mussarela,gorgonzola
suco de maracujá,sabor catupiry,cogumelos,bacon,nozes,alho-poró,brócolis,massa final,gorgonzola,provolone
refrigerante,borda tradicional,tomate,pimentão assado,azeitona,queijo cheddar,pepperoni,massa tradicional,mussarela,NA
vinho tinto,borda tradicional,tomate,NA,NA,NA,NA,massa final,gorgonzola,provolone
refrigerante,sabor catupiry,brócolis,linguiça calabresa defumada,rúcula,bacon,frango,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,tomate,azeitona,palmito,bacon,calabresa,massa final,provolone,mussarela
refrigerante,cream cheese,carne moída,tomate,pimentão,cogumelos,linguiça calabresa defumada,massa final,mussarela,parmesão
água com gás,cream cheese,pepperoni,cebola,alho,tomate,azeite de oliva,massa tradicional,parmesão,cheddar
refrigerante,sabor catupiry,calabresa,cebola,tomate,milho,pimenta calabresa,massa tradicional,catupiry,NA
vinho tinto,borda tradicional,presunto,azeitona,calabresa,orégano,carne seca,massa tradicional,mussarela,NA
suco de maracujá,sabor catupiry,pimentão,orégano,milho,calabresa,cebolinha,massa tradicional,mussarela,parmesão
vinho tinto,cheddar,cogumelos,azeite de oliva,orégano,queijo roquefort,queijo gouda,massa final,mussarela,provolone
refrigerante,sabor catupiry,pepperoni,tomate,rúcula,carne seca,cebola,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,atum,cebola,azeitona,NA,NA,massa final,gorgonzola,mussarela
refrigerante,borda tradicional,bacon,azeitona,calabresa,pimenta calabresa,alho,massa tradicional,catupiry,mussarela
suco de maracujá,sabor catupiry,tomate,anchova,alcaparra,azeite de oliva,pepperoni,massa tradicional,mussarela,gorgonzola
refrigerante,sabor catupiry,bacon,anchova em conserva,azeite de oliva,cogumelos,queijo de cabra,massa tradicional,mussarela,cheddar
refrigerante,sabor catupiry,calabresa,alho,frango,milho,azeite de oliva,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,pepperoni,bacon,cebola,NA,NA,massa tradicional,mussarela,NA
cerveja,borda tradicional,pepperoni,queijo gouda,tomate,azeitona,pimenta biquinho,massa tradicional,parmesão,gorgonzola
água com gás,borda tradicional,tomate,cebola,pepperoni,calabresa,pimenta calabresa,massa final,mussarela,parmesão
cerveja,borda tradicional,palmito,tomate,milho,bacon,frango,massa final,mussarela,parmesão
refrigerante,cream cheese,azeitona,presunto,bacon,calabresa,cebola,massa grossa,mussarela,gorgonzola
refrigerante,sabor catupiry,pepperoni,picles,bacon,frango,carne seca,massa tradicional,parmesão,queijo brie
vinho tinto,borda tradicional,tomate,calabresa,cebola,azeitona,azeite de oliva,massa tradicional,mussarela,queijo feta
suco de maracujá,sabor catupiry,frango,orégano,tomate,bacon,calabresa,massa tradicional,mussarela,provolone
chá gelado,borda tradicional,frango,palmito,orégano,NA,NA,massa grossa,mussarela,NA
vinho tinto,borda tradicional,tomate,orégano,frango,palmito,milho,massa final,mussarela,queijo coalho
suco de maracujá,borda tradicional,tomate seco,cebola caramelizada,calabresa,orégano,brócolis,massa final,mussarela,parmesão
suco de uva,cheddar,bacon,frango,cebola,linguiça,ovo,massa tradicional,mussarela,catupiry
suco de abacaxi,borda tradicional,alho,atum,tomate,azeite de oliva,bacon,massa tradicional,mussarela,parmesão
suco de abacaxi,sabor catupiry,presunto,pepperoni,cebola,azeitona,tomate,massa tradicional,mussarela,cheddar
suco de laranja,cheddar,tomate,brócolis,pimenta calabresa,alho,bacon,massa final,mussarela,parmesão
vinho tinto,borda tradicional,azeite de oliva,tomate,queijo de cabra,rúcula,NA,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,pepperoni,azeitona,pimentão,alho-poró,alho,massa tradicional,mussarela,NA
suco de laranja,borda tradicional,presunto,cogumelos,ovo,cebola,ervilha,massa tradicional,mussarela,catupiry
vinho tinto,borda tradicional,rúcula,pepperoni,azeitona,azeite de oliva,alho-poró,massa tradicional,queijo brie,mussarela
cerveja,cream cheese,azeitona,calabresa,cebola,tomate,cogumelos,massa final,mussarela,provolone
limonada,borda tradicional,tomate,anchova em conserva,atum,orégano,azeitona,massa tradicional,mussarela,provolone
chá gelado,sabor catupiry,pepperoni,cebola,ovo,NA,alho-poró,massa tradicional,mussarela,parmesão
suco de maracujá,borda tradicional,alho,abacaxi,frango,pimenta calabresa,pepperoni,massa integral,mussarela,provolone
refrigerante,borda tradicional,pepperoni,linguiça calabresa defumada,frango,bacon,presunto,massa tradicional,mussarela,catupiry
cerveja,borda tradicional,alho,anchova,azeite de oliva,pimentão,tomate,massa tradicional,provolone,provolone
água com gás,sabor catupiry,frango,presunto,brócolis,pimenta calabresa,linguiça calabresa defumada,massa final,mussarela,catupiry
suco de laranja,borda tradicional,cogumelos,azeite de oliva,abobrinha,cebola,palmito,massa integral,mussarela,provolone
limonada,cheddar,frango,orégano,queijo cheddar,bacon,NA,massa final,catupiry,queijo brie
suco de laranja,sabor catupiry,cebola,tomate,orégano,carne seca,queijo coalho grelhado,massa final,queijo brie,NA
limonada,borda tradicional,amêndoas,alho-poró,cebola caramelizada,rúcula,carne seca,massa final,NA,NA
refrigerante,sabor catupiry,pepperoni,cebola,milho,bacon,orégano,massa grossa,parmesão,gorgonzola
suco de maracujá,sabor catupiry,pepperoni,tomate,azeitona,bacon,queijo cheddar,massa tradicional,mussarela,cheddar
refrigerante,sabor catupiry,cogumelos,tomate,orégano,pimenta calabresa,azeitona,massa final,gorgonzola,parmesão
cerveja,cream cheese,bacon,cebola caramelizada,linguiça,ovo,carne seca,massa final,queijo coalho,queijo brie
limonada,sabor catupiry,cebola,alho,picles,calabresa,tomate seco,massa final,gorgonzola,catupiry
refrigerante,cream cheese,tomate,cogumelos,presunto,pimentão,azeitona,massa grossa,queijo brie,parmesão
chá gelado,sabor catupiry,cebola,frango,bacon,azeitona,cogumelos,massa tradicional,cheddar,mussarela
refrigerante,borda tradicional,abobrinha,azeitona,tomate,cebola,pepperoni,massa final,mussarela,provolone
refrigerante,sabor catupiry,atum,camarão,queijo cheddar,tomate,pimentão,massa tradicional,mussarela,parmesão
cerveja,borda tradicional,presunto,calabresa,bacon,NA,NA,massa tradicional,mussarela,queijo coalho
vinho tinto,borda tradicional,frango,tomate,orégano,milho,rúcula,massa tradicional,mussarela,queijo coalho
refrigerante,sabor catupiry,queijo coalho grelhado,bacon,orégano,presunto,azeitona,massa tradicional,mussarela,catupiry
refrigerante,cheddar,cogumelos,brócolis,milho,palmito,orégano,massa grossa,catupiry,parmesão
refrigerante,sabor catupiry,pepperoni,palmito,tomate,cogumelos,azeitona,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,abobrinha,orégano,tomate seco,cebolinha,NA,massa tradicional,catupiry,gorgonzola
chá gelado,sabor catupiry,castanhas,tomate,frango,espinafre,orégano,massa tradicional,queijo coalho,catupiry
cerveja,sabor catupiry,pepperoni,bacon,picles,queijo coalho grelhado,NA,massa tradicional,provolone,mussarela
cerveja,borda tradicional,pepperoni,cogumelos,cebola caramelizada,cebolinha,NA,massa tradicional,mussarela,NA
vinho tinto,cream cheese,bacon,rúcula,alho,brócolis,palmito,massa grossa,mussarela,gorgonzola
refrigerante,sabor catupiry,frango,milho,bacon,NA,NA,massa final,mussarela,NA
suco de uva,sabor catupiry,azeitona,alho,tomate seco,rúcula,brócolis,massa grossa,mussarela,parmesão
suco de uva,cream cheese,alho,orégano,NA,NA,NA,massa final,queijo brie,mussarela
cerveja,borda tradicional,tomate,orégano,pimentão,calabresa,cebola,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,rúcula,calabresa,cereja,amêndoas,alcaparra,massa tradicional,parmesão,provolone
suco de maracujá,cream cheese,pepperoni,cogumelos,bacon,calabresa,queijo cheddar,massa final,gorgonzola,cheddar
refrigerante,borda tradicional,pepperoni,tomate,azeitona,palmito,bacon,massa final,mussarela,parmesão
chá gelado,cream cheese,cogumelos,palmito,ovo,milho,ervilha,massa integral,mussarela,parmesão
refrigerante,cream cheese,presunto,calabresa,presunto,bacon,frango,massa final,mussarela,provolone
refrigerante,borda tradicional,tomate,calabresa,azeitona,bacon,cebola,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,palmito,bacon,frango,orégano,pepperoni,massa final,mussarela,catupiry
cerveja,borda tradicional,azeite de oliva,brócolis,cogumelos,pimenta calabresa,pepperoni,massa tradicional,mussarela,provolone
chá gelado,borda tradicional,cebola,calabresa,tomate,NA,NA,massa tradicional,mussarela,parmesão
suco de abacaxi,cream cheese,orégano,palmito,pimentão,azeitona,camarão,massa tradicional,catupiry,parmesão
vinho tinto,sabor catupiry,bacon,frango,orégano,azeitona,linguiça calabresa defumada,massa tradicional,mussarela,parmesão
refrigerante,cream cheese,pepperoni,cogumelos,azeitona,rúcula,queijo roquefort,massa final,mussarela,gorgonzola
cerveja,cheddar,carne seca,azeitona,pimenta biquinho,bacon,orégano,massa final,mussarela,catupiry
vinho tinto,borda tradicional,berinjela,tomate,abobrinha,alho,orégano,massa tradicional,parmesão,mussarela
água com gás,borda tradicional,cogumelos,tomate,azeitona,mel,presunto,massa final,queijo brie,gorgonzola
refrigerante,sabor catupiry,pepperoni,alho,picles,azeitona,mel,massa tradicional,provolone,cheddar
vinho tinto,sabor catupiry,pepperoni,cogumelos,alho,cebola,rúcula,massa final,parmesão,catupiry
NA,cream cheese,tomate,cebola,pepperoni,bacon,calabresa,massa tradicional,mussarela,cheddar
limonada,sabor catupiry,bacon,frango,orégano,NA,NA,massa final,queijo brie,NA
chá gelado,sabor catupiry,orégano,pepperoni,tomate,bacon,salsinha,massa tradicional,mussarela,NA
refrigerante,borda tradicional,calabresa,bacon,azeite de oliva,tomate,cebola,massa grossa,mussarela,parmesão
cerveja,borda tradicional,bacon,calabresa,cebola,ovo,tomate,massa tradicional,mussarela,parmesão
água com gás,borda tradicional,pepperoni,cogumelos,linguiça,bacon,picles,massa final,parmesão,cheddar
suco de laranja,cream cheese,carne seca,cebola caramelizada,azeitona,orégano,bacon,massa final,mussarela,queijo coalho
suco de uva,borda tradicional,cogumelos,alho-poró,cebolinha,orégano,azeitona,massa tradicional,mussarela,catupiry
limonada,sabor catupiry,carne seca,calabresa,cebola caramelizada,presunto,presunto,massa final,mussarela,catupiry
refrigerante,borda tradicional,alho,frango,tomate seco,NA,NA,massa grossa,mussarela,provolone
vinho tinto,borda tradicional,tomate,orégano,palmito,alho,NA,massa final,mussarela,gorgonzola
cerveja,cheddar,pepperoni,bacon,carne seca,linguiça calabresa defumada,orégano,massa final,mussarela,provolone
refrigerante,borda tradicional,presunto,tomate,orégano,pimentão,azeitona,massa final,mussarela,catupiry
refrigerante,borda tradicional,bacon,cogumelos,tomate,milho,frango,massa tradicional,mussarela,provolone
suco de laranja,borda tradicional,presunto,frango,cebolinha,ovo,cebola,massa tradicional,mussarela,catupiry
refrigerante,cream cheese,ovo,presunto,azeitona,cebola,palmito,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,cebolinha,cebola,NA,NA,azeitona,massa tradicional,mussarela,catupiry
limonada,cream cheese,cebola caramelizada,tomate,frango,bacon,milho,massa tradicional,parmesão,mussarela
refrigerante,borda tradicional,milho,pepperoni,tomate,bacon,calabresa,massa tradicional,catupiry,mussarela
água com gás,sabor catupiry,pepperoni,tomate,azeitona,bacon,pimentão,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,carne seca,pepperoni,rúcula,tomate seco,alho-poró,massa integral,mussarela,parmesão
refrigerante,borda tradicional,tomate,pepperoni,cebola,milho,carne seca,massa tradicional,mussarela,ricota
suco de abacaxi,sabor catupiry,pepperoni,bacon,carne seca,NA,NA,massa grossa,mussarela,catupiry
cerveja,borda tradicional,alho,azeitona,pimenta calabresa,carne moída,calabresa,massa final,parmesão,catupiry
cerveja,borda tradicional,tomate,orégano,cebola,cogumelos,alho,massa final,gorgonzola,provolone
refrigerante,borda tradicional,frango,bacon,NA,NA,NA,massa grossa,mussarela,gorgonzola
refrigerante,sabor catupiry,carne seca,milho,orégano,bacon,azeitona,massa tradicional,catupiry,mussarela
limonada,sabor catupiry,atum,cebolinha,tomate,camarão,orégano,massa tradicional,queijo coalho,gorgonzola
cerveja,cheddar,bacon,alho,rúcula,cebola caramelizada,pimenta calabresa,massa final,provolone,ricota
suco de maracujá,sabor catupiry,frango,bacon,cebola,tomate,linguiça calabresa defumada,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,azeite de oliva,palmito,pimenta calabresa,queijo coalho grelhado,azeitona,massa tradicional,mussarela,NA
suco de laranja,cream cheese,cebola,tomate,milho,bacon,frango,massa final,queijo coalho,mussarela
vinho tinto,sabor catupiry,azeitona,alho,anchova,presunto,cogumelos,massa final,cheddar,catupiry
refrigerante,sabor catupiry,tomate,frango,bacon,calabresa,carne moída,massa final,mussarela,catupiry
refrigerante,cheddar,frango,tomate,NA,NA,NA,massa tradicional,mussarela,catupiry
suco de laranja,sabor catupiry,alho,camarão,cebola,rúcula,tomate,massa tradicional,catupiry,ricota
água com gás,sabor catupiry,pepperoni,cebola,bacon,pimenta calabresa,azeitona,massa final,provolone,parmesão
refrigerante,cream cheese,calabresa,frango,bacon,cebola,ovo,massa tradicional,mussarela,catupiry
cerveja,cheddar,orégano,tomate,berinjela,cebola,bacon,massa tradicional,mussarela,provolone
suco de maracujá,cream cheese,cebola,tomate,palmito,bacon,carne seca,massa tradicional,mussarela,gorgonzola
refrigerante,cheddar,tomate,NA,azeitona,NA,NA,massa final,mussarela,provolone
suco de laranja,borda tradicional,calabresa,cebola,azeitona,orégano,palmito,massa tradicional,mussarela,NA
refrigerante,borda tradicional,bacon,milho,pepperoni,tomate,azeitona,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,bacon,ovo,tomate seco,cebola,pimentão,massa tradicional,mussarela,parmesão
água com gás,cream cheese,linguiça calabresa defumada,carne seca,pepperoni,berinjela,bacon,massa integral,queijo coalho,queijo brie
suco de laranja,sabor catupiry,tomate,tomate seco,espinafre,frango,bacon,massa final,mussarela,parmesão
cerveja,borda tradicional,presunto,frango,tomate,queijo de cabra,bacon,massa final,mussarela,catupiry
refrigerante,cream cheese,pepperoni,cogumelos,bacon,abacaxi,azeitona,massa tradicional,mussarela,gorgonzola
água com gás,sabor catupiry,pepperoni,frango,cogumelos,brócolis,bacon,massa tradicional,parmesão,queijo brie
NA,cheddar,brócolis,berinjela,alcaparra,berinjela,pimentão,massa tradicional,parmesão,gorgonzola
água com gás,cream cheese,calabresa,queijo de cabra,cebola caramelizada,alho-poró,NA,massa tradicional,parmesão,cheddar
cerveja,sabor catupiry,pepperoni,presunto,cebola,azeitona,brócolis,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,azeitona,tomate,cebola,linguiça calabresa defumada,bacon,massa final,catupiry,mussarela
suco de uva,borda tradicional,frango,cebola,alho,azeitona,milho,massa tradicional,parmesão,catupiry
NA,borda tradicional,tomate,azeitona,rúcula,NA,NA,massa tradicional,mussarela,NA
vinho tinto,borda tradicional,azeitona,palmito,bacon,cebola,tomate,massa final,provolone,gorgonzola
suco de laranja,cheddar,presunto,pepperoni,cogumelos,tomate seco,carne moída,massa tradicional,cheddar,provolone
refrigerante,sabor catupiry,calabresa,presunto,tomate,pimentão,ovo,massa tradicional,mussarela,queijo brie
refrigerante,borda tradicional,presunto,tomate,bacon,ovo,pimentão assado,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,alho,tomate,bacon,cebola,pimentão,massa tradicional,mussarela,parmesão
cerveja,cream cheese,pepperoni,azeite de oliva,presunto,frango,azeitona,massa tradicional,parmesão,mussarela
refrigerante,cream cheese,pepperoni,cebola caramelizada,cogumelos,azeitona,palmito,massa final,mussarela,parmesão
refrigerante,borda tradicional,tomate,bacon,calabresa,palmito,frango,massa final,parmesão,parmesão
suco de abacaxi,cream cheese,tomate,azeitona,cogumelos,alcaparra,pepperoni,massa integral,mussarela,ricota
suco de uva,cheddar,frango,queijo cheddar,alho,bacon,pepperoni,massa tradicional,parmesão,provolone
vinho tinto,borda tradicional,mel,abacate,pepperoni,uva passa,presunto,massa final,mussarela,parmesão
cerveja,cream cheese,brócolis,alho,bacon,orégano,cebola,massa final,mussarela,catupiry
vinho tinto,sabor catupiry,pepperoni,alho,carne seca,brócolis,bacon,massa tradicional,mussarela,gorgonzola
limonada,borda tradicional,pepperoni,azeite de oliva,cogumelos,cebola,azeitona,massa tradicional,mussarela,parmesão
cerveja,sabor catupiry,brócolis,cebola,alho,milho,bacon,massa grossa,catupiry,parmesão
suco de abacaxi,sabor catupiry,pepperoni,rúcula,alho,tomate seco,carne seca,massa final,mussarela,queijo brie
refrigerante,cream cheese,alho-poró,bacon,frango,calabresa,alho,massa tradicional,mussarela,cheddar
chá gelado,borda tradicional,cebola,calabresa,orégano,alho-poró,salsinha,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,pepperoni,tomate,alho,orégano,NA,massa grossa,mussarela,gorgonzola
cerveja,cheddar,tomate,cogumelos,calabresa,palmito,tomate seco,massa tradicional,mussarela,provolone
suco de laranja,sabor catupiry,tomate,cebola,pimentão,calabresa,presunto,massa integral,mussarela,parmesão
cerveja,borda tradicional,palmito,camarão,tomate,azeitona,bacon,massa tradicional,mussarela,queijo feta
refrigerante,sabor catupiry,frango,alho,orégano,ovo,cebola caramelizada,massa tradicional,mussarela,queijo coalho
suco de laranja,cheddar,calabresa,bacon,cebola,azeitona,mel,massa tradicional,mussarela,parmesão
cerveja,cream cheese,pepperoni,calabresa,bacon,tomate,orégano,massa grossa,mussarela,cheddar
refrigerante,cheddar,anchova,pepperoni,cogumelos,cebola,carne seca,massa grossa,mussarela,gorgonzola
suco de abacaxi,borda tradicional,cogumelos,palmito,frango,tomate seco,brócolis,massa final,mussarela,queijo brie
refrigerante,borda tradicional,cogumelos,cebola,pepperoni,azeitona,queijo gouda,massa final,mussarela,parmesão
refrigerante,borda tradicional,ovo,camarão,pepperoni,bacon,rúcula,massa final,mussarela,parmesão
NA,borda tradicional,bacon,frango,orégano,NA,NA,massa tradicional,mussarela,parmesão
cerveja,sabor catupiry,linguiça calabresa defumada,cebola,azeitona,pimenta calabresa,ovo,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,pimentão,bacon,ovo,carne seca,cebola,massa grossa,mussarela,catupiry
