"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"1000","refrigerante","borda tradicional","azeitona","tomate","milho","alho","orégano","massa tradicional","mussarela","parmesão"
"1001","água com gás","sabor catupiry","bacon","calabresa","linguiça calabresa defumada","frango","carne seca","massa final","mussarela","provolone"
"1002","suco de laranja","cheddar","pepperoni","tomate","queijo de cabra","presunto","palmito","massa tradicional","mussarela","parmesão"
"1003","suco de maracujá","sabor catupiry","pepperoni","bacon","alho","frango",NA,"massa tradicional","mussarela",NA
"1004","refrigerante","borda tradicional","cebola","pepperoni","azeitona","milho","alho","massa tradicional","parmesão","mussarela"
"1005","cerveja","borda tradicional","pepperoni","pimenta calabresa","alho-poró","beterraba","azeite de oliva","massa final","mussarela","provolone"
"1006","vinho tinto","borda tradicional","picles","pepperoni","tomate","presunto","bacon","massa tradicional","mussarela","gorgonzola"
"1007","limonada","cream cheese","tomate","azeitona","palmito","frango","orégano","massa final","mussarela","catupiry"
"1008","cerveja","borda tradicional","cebola","presunto","azeite de oliva","pepperoni","tomate","massa final","provolone","parmesão"
"1009","vinho tinto","sabor catupiry","alho","bacon","orégano","milho","frango","massa tradicional","mussarela","parmesão"
"1010","refrigerante","sabor catupiry","calabresa","pepperoni","cogumelos","bacon","queijo de cabra","massa final","mussarela","cheddar"
"1011","chá gelado","sabor catupiry","cogumelos","bacon","linguiça calabresa defumada","linguiça","calabresa","massa tradicional","cheddar","mussarela"
"1012","cerveja","sabor catupiry","cebola","azeitona","azeite de oliva","picles","pimentão","massa tradicional","mussarela","ricota"
"1013","cerveja","sabor catupiry","calabresa","presunto","cogumelos","cebola","azeitona","massa tradicional","catupiry","mussarela"
"1014","refrigerante","sabor catupiry","tomate","cebola","orégano","calabresa","ovo","massa tradicional","mussarela","gorgonzola"
"1015","cerveja","cheddar","tomate","pepperoni","bacon","queijo cheddar","ovo","massa tradicional","catupiry","mussarela"
"1016","suco de uva","borda tradicional","mel","pêssego","nozes",NA,NA,"massa final","mussarela","gorgonzola"
"1017","vinho tinto","sabor catupiry","tomate","azeitona","bacon","ovo","orégano","massa final","provolone","queijo brie"
"1018","refrigerante","borda tradicional","tomate","pepperoni","cebola","cogumelos","orégano","massa final","cheddar","gorgonzola"
"1019","suco de uva","borda tradicional","bacon","alho","azeitona","tomate","cogumelos","massa final","mussarela",NA
"1020","refrigerante","sabor catupiry","cebola","cebola","frango",NA,NA,"massa tradicional","catupiry","mussarela"
"1021","refrigerante","cheddar","calabresa","cebola","azeitona","bacon","pimenta biquinho","massa tradicional","parmesão","mussarela"
"1022","vinho tinto","cream cheese","cogumelos","tomate","bacon","milho","cebola","massa final","mussarela","parmesão"
"1023","refrigerante","sabor catupiry","cogumelos","cebola caramelizada","orégano",NA,NA,"massa tradicional","mussarela","catupiry"
"1024","suco de abacaxi","cream cheese","brócolis","alcaparra","brócolis","brócolis","brócolis","massa tradicional","ricota","ricota"
"1025","limonada","borda tradicional","presunto","tomate","azeitona","orégano","ovo","massa grossa","mussarela","catupiry"
"1026","água com gás","borda tradicional","pepperoni","cebola","pimentão","azeitona","tomate","massa tradicional","gorgonzola","mussarela"
"1027","chá gelado","borda tradicional","tomate","picles","azeite de oliva","azeitona","cebola","massa tradicional",NA,NA
"1028","vinho tinto","borda tradicional","tomate","azeitona",NA,NA,NA,"massa tradicional","mussarela","parmesão"
"1029","cerveja","borda tradicional","cebola","calabresa","pimentão","pimenta calabresa","tomate","massa final","mussarela","parmesão"
"1030","refrigerante","cheddar","brócolis","bacon","palmito","frango","cebola","massa final","parmesão","mussarela"
"1031","água com gás","sabor catupiry","presunto","tomate","queijo cheddar","azeitona","cogumelos","massa final","parmesão","mussarela"
"1032","refrigerante","sabor catupiry","linguiça calabresa defumada","cebola","tomate seco","azeitona",NA,"massa grossa","mussarela","cheddar"
"1033","refrigerante","borda tradicional","brócolis","milho","tomate seco","bacon","orégano","massa tradicional","catupiry","gorgonzola"
"1034","limonada","borda tradicional","calabresa","atum","bacon",NA,NA,"massa integral","mussarela","provolone"
"1035","água com gás","sabor catupiry","pepperoni","azeite de oliva","presunto","alho","linguiça","massa final","mussarela","queijo coalho"
