"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"289","chá gelado","sabor catupiry","alho","pepperoni","tomate","azeitona","orégano","massa tradicional","mussarela","gorgonzola"
"290","suco de maracujá","borda tradicional","pepperoni","bacon","frango","orégano","linguiça","massa final","mussarela","queijo brie"
"291","chá gelado","cream cheese","calabresa","bacon","palmito","queijo gouda","cebola","massa tradicional","mussarela","catupiry"
"292","vinho tinto","sabor catupiry","calabresa","presunto","tomate","cebola","rúcula","massa final","mussarela","catupiry"
"293","vinho tinto","sabor catupiry","pepperoni","bacon","orégano",NA,NA,"massa tradicional","mussarela","catupiry"
"294","vinho tinto","borda tradicional","queijo gouda","azeitona","tomate seco","orégano","azeite de oliva","massa tradicional","gorgonzola","mussarela"
"295","vinho tinto","sabor catupiry","bacon","queijo cheddar","queijo coalho grelhado","cogumelos","pepperoni","massa final","mussarela","gorgonzola"
"296","refrigerante","sabor catupiry","pimentão","cebola","carne seca","orégano",NA,"massa final","mussarela","cheddar"
"297","suco de laranja","cheddar","azeite de oliva","abobrinha","cebola","alho","presunto","massa final","cheddar","provolone"
"298","vinho tinto","sabor catupiry","cogumelos","picles","azeitona","alho","brócolis","massa tradicional","queijo coalho","mussarela"
"299","chá gelado","sabor catupiry","rúcula","palmito","alcaparra","pimentão","cogumelos","massa integral","mussarela","provolone"
"300","refrigerante","borda tradicional","pepperoni","tomate",NA,NA,NA,"massa tradicional","mussarela",NA
"301","chá gelado","sabor catupiry","calabresa","bacon","tomate seco",NA,"pimenta biquinho","massa grossa","mussarela","mussarela"
"302","refrigerante","cream cheese","pepperoni","azeitona","berinjela","bacon","cebola caramelizada","massa tradicional","gorgonzola","provolone"
"303","suco de laranja","cheddar","carne seca","presunto","bacon","calabresa","abacaxi","massa final","mussarela","cheddar"
"304","chá gelado","sabor catupiry","carne seca","cebola","pepperoni","pimentão","tomate","massa tradicional","mussarela","cheddar"
"305","cerveja","borda tradicional","tomate","azeitona","cogumelos","cebola","presunto","massa final","parmesão","mussarela"
"306","suco de laranja","sabor catupiry","linguiça calabresa defumada","frango","milho","espinafre","bacon","massa tradicional","mussarela","cheddar"
"307","limonada","cream cheese","bacon","calabresa","camarão","ovo","presunto","massa final","parmesão","catupiry"
"308","refrigerante","sabor catupiry","pepperoni","frango","calabresa","queijo coalho grelhado","linguiça calabresa defumada","massa tradicional","mussarela","gorgonzola"
"309","suco de laranja","sabor catupiry","presunto","calabresa","tomate","orégano","azeitona","massa final","mussarela","catupiry"
"310","suco de laranja","borda tradicional","cogumelos","palmito","cebola caramelizada","palmito","tomate","massa grossa","provolone","parmesão"
"311","água com gás","sabor catupiry","cogumelos","bacon","calabresa","alho","cebola caramelizada","massa tradicional","mussarela","gorgonzola"
"312","suco de uva","sabor catupiry","azeite de oliva","alho","bacon",NA,NA,"massa grossa","mussarela",NA
"313","cerveja","sabor catupiry","cebola","tomate","azeitona","pimentão","calabresa","massa tradicional","catupiry","gorgonzola"
"314","vinho tinto","borda tradicional","tomate","azeitona","azeite de oliva","salsinha","calabresa","massa final","mussarela","parmesão"
"315","refrigerante","borda tradicional","queijo gouda","calabresa","pimenta calabresa","calabresa","queijo gouda","massa final","mussarela","gorgonzola"
"316","suco de maracujá","borda tradicional","cogumelos","pimentão","azeitona","frango","alho","massa tradicional","catupiry","cheddar"
"317",NA,"sabor catupiry","milho","carne seca","cogumelos","pepperoni","orégano","massa tradicional","provolone","parmesão"
"318","suco de laranja","borda tradicional","bacon","ovo","linguiça calabresa defumada","milho","ervilha","massa grossa","mussarela","provolone"
"319","água com gás","borda tradicional","linguiça","cebola","cogumelos","rúcula","tomate seco","massa final","gorgonzola","queijo brie"
"320","cerveja","borda tradicional","tomate","pimenta biquinho","calabresa","bacon","cebola caramelizada","massa final","parmesão","gorgonzola"
"321","suco de maracujá","borda tradicional","tomate","pimentão assado","cogumelos","cogumelos","azeitona","massa final","mussarela","mussarela"
"322","cerveja","borda tradicional","pepperoni","alho","azeitona","orégano","cebola","massa final","mussarela","parmesão"
"323","água com gás","borda tradicional","palmito",NA,NA,NA,NA,"massa final","mussarela","parmesão"
"324","suco de laranja","borda tradicional","calabresa","mel",NA,NA,NA,"massa tradicional","mussarela","gorgonzola"
"325","vinho tinto","borda tradicional","carne seca","cogumelos","pepperoni","espinafre","azeitona","massa tradicional","mussarela","queijo coalho"
"326","refrigerante","cream cheese","pepperoni","tomate seco","alho","azeite de oliva","carne seca","massa tradicional","gorgonzola","queijo coalho"
"327","refrigerante","sabor catupiry","presunto","calabresa","tomate seco","palmito","cebola","massa tradicional","mussarela","catupiry"
"328","cerveja","sabor catupiry","pimentão","alho","anchova","alcaparra","azeitona","massa integral","provolone","gorgonzola"
"329","refrigerante","borda tradicional","cebola","bacon","calabresa","tomate","cebola","massa final","queijo brie","catupiry"
"330","refrigerante","borda tradicional","tomate","alho","frango","bacon","camarão","massa final","cheddar","parmesão"
"331","suco de abacaxi","sabor catupiry","cogumelos","brócolis","bacon","tomate seco","alho-poró","massa tradicional","mussarela","catupiry"
"332","cerveja","borda tradicional","cebola","tomate","cebola","cogumelos","bacon","massa tradicional","gorgonzola","mussarela"
"333","suco de laranja","sabor catupiry","calabresa","bacon","cebola","palmito","pepperoni","massa tradicional","mussarela","catupiry"
"334","água com gás","sabor catupiry","presunto","cogumelos","cebola",NA,NA,"massa final","mussarela",NA
"335","suco de laranja","cream cheese","cebola","brócolis","palmito","alho-poró","carne seca","massa tradicional","mussarela","gorgonzola"
"336","vinho tinto","cheddar","bacon","espinafre","cebola","cogumelos","brócolis","massa integral","cheddar","catupiry"
"337","refrigerante","borda tradicional","alho","azeitona","brócolis","tomate seco",NA,"massa tradicional","mussarela","parmesão"
"338","refrigerante","sabor catupiry","frango","azeitona","cebola","milho",NA,"massa tradicional","mussarela","catupiry"
"339","refrigerante","sabor catupiry","tomate",NA,"cogumelos","rúcula","salsinha","massa grossa","queijo brie","provolone"
"340","suco de laranja","sabor catupiry","cebola","carne moída","azeite de oliva","azeitona","tomate","massa tradicional","mussarela","catupiry"
"341","limonada","cheddar","alho","azeitona","tomate","cebola","cogumelos","massa integral",NA,NA
"342","água com gás","sabor catupiry","tomate seco","cebola","brócolis","cogumelos","pepperoni","massa tradicional","mussarela","gorgonzola"
"343","refrigerante","sabor catupiry","tomate","frango","cebola","pepperoni","palmito","massa tradicional","mussarela","catupiry"
"344","chá gelado","borda tradicional","abobrinha","cogumelos","cebola","tomate seco","atum","massa final","gorgonzola","parmesão"
"345","refrigerante","borda tradicional","pepperoni","cebola","bacon","palmito","tomate seco","massa tradicional","gorgonzola","parmesão"
"346","água com gás","borda tradicional","azeitona","calabresa","bacon","pimenta calabresa","cebola","massa final","mussarela","gorgonzola"
"347","refrigerante","sabor catupiry","calabresa","cebola","ovo",NA,NA,"massa tradicional","mussarela","gorgonzola"
"348","suco de maracujá","sabor catupiry","cogumelos","bacon","nozes","alho-poró","brócolis","massa final","gorgonzola","provolone"
"349","refrigerante","borda tradicional","tomate","pimentão assado","azeitona","queijo cheddar","pepperoni","massa tradicional","mussarela",NA
"350","vinho tinto","borda tradicional","tomate",NA,NA,NA,NA,"massa final","gorgonzola","provolone"
"351","refrigerante","sabor catupiry","brócolis","linguiça calabresa defumada","rúcula","bacon","frango","massa final","mussarela","gorgonzola"
"352","refrigerante","sabor catupiry","tomate","azeitona","palmito","bacon","calabresa","massa final","provolone","mussarela"
"353","refrigerante","cream cheese","carne moída","tomate","pimentão","cogumelos","linguiça calabresa defumada","massa final","mussarela","parmesão"
"354","água com gás","cream cheese","pepperoni","cebola","alho","tomate","azeite de oliva","massa tradicional","parmesão","cheddar"
"355","refrigerante","sabor catupiry","calabresa","cebola","tomate","milho","pimenta calabresa","massa tradicional","catupiry",NA
"356","vinho tinto","borda tradicional","presunto","azeitona","calabresa","orégano","carne seca","massa tradicional","mussarela",NA
"357","suco de maracujá","sabor catupiry","pimentão","orégano","milho","calabresa","cebolinha","massa tradicional","mussarela","parmesão"
"358","vinho tinto","cheddar","cogumelos","azeite de oliva","orégano","queijo roquefort","queijo gouda","massa final","mussarela","provolone"
"359","refrigerante","sabor catupiry","pepperoni","tomate","rúcula","carne seca","cebola","massa tradicional","mussarela","parmesão"
"360","refrigerante","sabor catupiry","atum","cebola","azeitona",NA,NA,"massa final","gorgonzola","mussarela"
"361","refrigerante","borda tradicional","bacon","azeitona","calabresa","pimenta calabresa","alho","massa tradicional","catupiry","mussarela"
"362","suco de maracujá","sabor catupiry","tomate","anchova","alcaparra","azeite de oliva","pepperoni","massa tradicional","mussarela","gorgonzola"
"363","refrigerante","sabor catupiry","bacon","anchova em conserva","azeite de oliva","cogumelos","queijo de cabra","massa tradicional","mussarela","cheddar"
"364","refrigerante","sabor catupiry","calabresa","alho","frango","milho","azeite de oliva","massa tradicional","mussarela","parmesão"
"365","refrigerante","borda tradicional","pepperoni","bacon","cebola",NA,NA,"massa tradicional","mussarela",NA
"366","cerveja","borda tradicional","pepperoni","queijo gouda","tomate","azeitona","pimenta biquinho","massa tradicional","parmesão","gorgonzola"
"367","água com gás","borda tradicional","tomate","cebola","pepperoni","calabresa","pimenta calabresa","massa final","mussarela","parmesão"
"368","cerveja","borda tradicional","palmito","tomate","milho","bacon","frango","massa final","mussarela","parmesão"
"369","refrigerante","cream cheese","azeitona","presunto","bacon","calabresa","cebola","massa grossa","mussarela","gorgonzola"
"370","refrigerante","sabor catupiry","pepperoni","picles","bacon","frango","carne seca","massa tradicional","parmesão","queijo brie"
"371","vinho tinto","borda tradicional","tomate","calabresa","cebola","azeitona","azeite de oliva","massa tradicional","mussarela","queijo feta"
"372","suco de maracujá","sabor catupiry","frango","orégano","tomate","bacon","calabresa","massa tradicional","mussarela","provolone"
"373","chá gelado","borda tradicional","frango","palmito","orégano",NA,NA,"massa grossa","mussarela",NA
"374","vinho tinto","borda tradicional","tomate","orégano","frango","palmito","milho","massa final","mussarela","queijo coalho"
"375","suco de maracujá","borda tradicional","tomate seco","cebola caramelizada","calabresa","orégano","brócolis","massa final","mussarela","parmesão"
"376","suco de uva","cheddar","bacon","frango","cebola","linguiça","ovo","massa tradicional","mussarela","catupiry"
"377","suco de abacaxi","borda tradicional","alho","atum","tomate","azeite de oliva","bacon","massa tradicional","mussarela","parmesão"
"378","suco de abacaxi","sabor catupiry","presunto","pepperoni","cebola","azeitona","tomate","massa tradicional","mussarela","cheddar"
"379","suco de laranja","cheddar","tomate","brócolis","pimenta calabresa","alho","bacon","massa final","mussarela","parmesão"
"380","vinho tinto","borda tradicional","azeite de oliva","tomate","queijo de cabra","rúcula",NA,"massa tradicional","mussarela",NA
"381","refrigerante","sabor catupiry","pepperoni","azeitona","pimentão","alho-poró","alho","massa tradicional","mussarela",NA
"382","suco de laranja","borda tradicional","presunto","cogumelos","ovo","cebola","ervilha","massa tradicional","mussarela","catupiry"
"383","vinho tinto","borda tradicional","rúcula","pepperoni","azeitona","azeite de oliva","alho-poró","massa tradicional","queijo brie","mussarela"
"384","cerveja","cream cheese","azeitona","calabresa","cebola","tomate","cogumelos","massa final","mussarela","provolone"
"385","limonada","borda tradicional","tomate","anchova em conserva","atum","orégano","azeitona","massa tradicional","mussarela","provolone"
"386","chá gelado","sabor catupiry","pepperoni","cebola","ovo",NA,"alho-poró","massa tradicional","mussarela","parmesão"
"387","suco de maracujá","borda tradicional","alho","abacaxi","frango","pimenta calabresa","pepperoni","massa integral","mussarela","provolone"
"388","refrigerante","borda tradicional","pepperoni","linguiça calabresa defumada","frango","bacon","presunto","massa tradicional","mussarela","catupiry"
"389","cerveja","borda tradicional","alho","anchova","azeite de oliva","pimentão","tomate","massa tradicional","provolone","provolone"
"390","água com gás","sabor catupiry","frango","presunto","brócolis","pimenta calabresa","linguiça calabresa defumada","massa final","mussarela","catupiry"
"391","suco de laranja","borda tradicional","cogumelos","azeite de oliva","abobrinha","cebola","palmito","massa integral","mussarela","provolone"
"392","limonada","cheddar","frango","orégano","queijo cheddar","bacon",NA,"massa final","catupiry","queijo brie"
"393","suco de laranja","sabor catupiry","cebola","tomate","orégano","carne seca","queijo coalho grelhado","massa final","queijo brie",NA
"394","limonada","borda tradicional","amêndoas","alho-poró","cebola caramelizada","rúcula","carne seca","massa final",NA,NA
"395","refrigerante","sabor catupiry","pepperoni","cebola","milho","bacon","orégano","massa grossa","parmesão","gorgonzola"
"396","suco de maracujá","sabor catupiry","pepperoni","tomate","azeitona","bacon","queijo cheddar","massa tradicional","mussarela","cheddar"
"397","refrigerante","sabor catupiry","cogumelos","tomate","orégano","pimenta calabresa","azeitona","massa final","gorgonzola","parmesão"
"398","cerveja","cream cheese","bacon","cebola caramelizada","linguiça","ovo","carne seca","massa final","queijo coalho","queijo brie"
"399","limonada","sabor catupiry","cebola","alho","picles","calabresa","tomate seco","massa final","gorgonzola","catupiry"
"400","refrigerante","cream cheese","tomate","cogumelos","presunto","pimentão","azeitona","massa grossa","queijo brie","parmesão"
"401","chá gelado","sabor catupiry","cebola","frango","bacon","azeitona","cogumelos","massa tradicional","cheddar","mussarela"
"402","refrigerante","borda tradicional","abobrinha","azeitona","tomate","cebola","pepperoni","massa final","mussarela","provolone"
"403","refrigerante","sabor catupiry","atum","camarão","queijo cheddar","tomate","pimentão","massa tradicional","mussarela","parmesão"
"404","cerveja","borda tradicional","presunto","calabresa","bacon",NA,NA,"massa tradicional","mussarela","queijo coalho"
"405","vinho tinto","borda tradicional","frango","tomate","orégano","milho","rúcula","massa tradicional","mussarela","queijo coalho"
"406","refrigerante","sabor catupiry","queijo coalho grelhado","bacon","orégano","presunto","azeitona","massa tradicional","mussarela","catupiry"
"407","refrigerante","cheddar","cogumelos","brócolis","milho","palmito","orégano","massa grossa","catupiry","parmesão"
"408","refrigerante","sabor catupiry","pepperoni","palmito","tomate","cogumelos","azeitona","massa tradicional","mussarela","parmesão"
"409","refrigerante","borda tradicional","abobrinha","orégano","tomate seco","cebolinha",NA,"massa tradicional","catupiry","gorgonzola"
"410","chá gelado","sabor catupiry","castanhas","tomate","frango","espinafre","orégano","massa tradicional","queijo coalho","catupiry"
"411","cerveja","sabor catupiry","pepperoni","bacon","picles","queijo coalho grelhado",NA,"massa tradicional","provolone","mussarela"
"412","cerveja","borda tradicional","pepperoni","cogumelos","cebola caramelizada","cebolinha",NA,"massa tradicional","mussarela",NA
"413","vinho tinto","cream cheese","bacon","rúcula","alho","brócolis","palmito","massa grossa","mussarela","gorgonzola"
"414","refrigerante","sabor catupiry","frango","milho","bacon",NA,NA,"massa final","mussarela",NA
"415","suco de uva","sabor catupiry","azeitona","alho","tomate seco","rúcula","brócolis","massa grossa","mussarela","parmesão"
"416","suco de uva","cream cheese","alho","orégano",NA,NA,NA,"massa final","queijo brie","mussarela"
"417","cerveja","borda tradicional","tomate","orégano","pimentão","calabresa","cebola","massa tradicional","mussarela","parmesão"
"418","refrigerante","borda tradicional","rúcula","calabresa","cereja","amêndoas","alcaparra","massa tradicional","parmesão","provolone"
"419","suco de maracujá","cream cheese","pepperoni","cogumelos","bacon","calabresa","queijo cheddar","massa final","gorgonzola","cheddar"
"420","refrigerante","borda tradicional","pepperoni","tomate","azeitona","palmito","bacon","massa final","mussarela","parmesão"
"421","chá gelado","cream cheese","cogumelos","palmito","ovo","milho","ervilha","massa integral","mussarela","parmesão"
"422","refrigerante","cream cheese","presunto","calabresa","presunto","bacon","frango","massa final","mussarela","provolone"
"423","refrigerante","borda tradicional","tomate","calabresa","azeitona","bacon","cebola","massa tradicional","mussarela","parmesão"
"424","refrigerante","sabor catupiry","palmito","bacon","frango","orégano","pepperoni","massa final","mussarela","catupiry"
"425","cerveja","borda tradicional","azeite de oliva","brócolis","cogumelos","pimenta calabresa","pepperoni","massa tradicional","mussarela","provolone"
"426","chá gelado","borda tradicional","cebola","calabresa","tomate",NA,NA,"massa tradicional","mussarela","parmesão"
"427","suco de abacaxi","cream cheese","orégano","palmito","pimentão","azeitona","camarão","massa tradicional","catupiry","parmesão"
"428","vinho tinto","sabor catupiry","bacon","frango","orégano","azeitona","linguiça calabresa defumada","massa tradicional","mussarela","parmesão"
"429","refrigerante","cream cheese","pepperoni","cogumelos","azeitona","rúcula","queijo roquefort","massa final","mussarela","gorgonzola"
"430","cerveja","cheddar","carne seca","azeitona","pimenta biquinho","bacon","orégano","massa final","mussarela","catupiry"
"431","vinho tinto","borda tradicional","berinjela","tomate","abobrinha","alho","orégano","massa tradicional","parmesão","mussarela"
"432","água com gás","borda tradicional","cogumelos","tomate","azeitona","mel","presunto","massa final","queijo brie","gorgonzola"
"433","refrigerante","sabor catupiry","pepperoni","alho","picles","azeitona","mel","massa tradicional","provolone","cheddar"
"434","vinho tinto","sabor catupiry","pepperoni","cogumelos","alho","cebola","rúcula","massa final","parmesão","catupiry"
"435",NA,"cream cheese","tomate","cebola","pepperoni","bacon","calabresa","massa tradicional","mussarela","cheddar"
"436","limonada","sabor catupiry","bacon","frango","orégano",NA,NA,"massa final","queijo brie",NA
"437","chá gelado","sabor catupiry","orégano","pepperoni","tomate","bacon","salsinha","massa tradicional","mussarela",NA
"438","refrigerante","borda tradicional","calabresa","bacon","azeite de oliva","tomate","cebola","massa grossa","mussarela","parmesão"
"439","cerveja","borda tradicional","bacon","calabresa","cebola","ovo","tomate","massa tradicional","mussarela","parmesão"
"440","água com gás","borda tradicional","pepperoni","cogumelos","linguiça","bacon","picles","massa final","parmesão","cheddar"
"441","suco de laranja","cream cheese","carne seca","cebola caramelizada","azeitona","orégano","bacon","massa final","mussarela","queijo coalho"
"442","suco de uva","borda tradicional","cogumelos","alho-poró","cebolinha","orégano","azeitona","massa tradicional","mussarela","catupiry"
"443","limonada","sabor catupiry","carne seca","calabresa","cebola caramelizada","presunto","presunto","massa final","mussarela","catupiry"
"444","refrigerante","borda tradicional","alho","frango","tomate seco",NA,NA,"massa grossa","mussarela","provolone"
"445","vinho tinto","borda tradicional","tomate","orégano","palmito","alho",NA,"massa final","mussarela","gorgonzola"
"446","cerveja","cheddar","pepperoni","bacon","carne seca","linguiça calabresa defumada","orégano","massa final","mussarela","provolone"
"447","refrigerante","borda tradicional","presunto","tomate","orégano","pimentão","azeitona","massa final","mussarela","catupiry"
"448","refrigerante","borda tradicional","bacon","cogumelos","tomate","milho","frango","massa tradicional","mussarela","provolone"
"449","suco de laranja","borda tradicional","presunto","frango","cebolinha","ovo","cebola","massa tradicional","mussarela","catupiry"
"450","refrigerante","cream cheese","ovo","presunto","azeitona","cebola","palmito","massa tradicional","mussarela","parmesão"
"451","refrigerante","sabor catupiry","cebolinha","cebola",NA,NA,"azeitona","massa tradicional","mussarela","catupiry"
"452","limonada","cream cheese","cebola caramelizada","tomate","frango","bacon","milho","massa tradicional","parmesão","mussarela"
"453","refrigerante","borda tradicional","milho","pepperoni","tomate","bacon","calabresa","massa tradicional","catupiry","mussarela"
"454","água com gás","sabor catupiry","pepperoni","tomate","azeitona","bacon","pimentão","massa tradicional","mussarela","parmesão"
"455","vinho tinto","borda tradicional","carne seca","pepperoni","rúcula","tomate seco","alho-poró","massa integral","mussarela","parmesão"
"456","refrigerante","borda tradicional","tomate","pepperoni","cebola","milho","carne seca","massa tradicional","mussarela","ricota"
"457","suco de abacaxi","sabor catupiry","pepperoni","bacon","carne seca",NA,NA,"massa grossa","mussarela","catupiry"
"458","cerveja","borda tradicional","alho","azeitona","pimenta calabresa","carne moída","calabresa","massa final","parmesão","catupiry"
"459","cerveja","borda tradicional","tomate","orégano","cebola","cogumelos","alho","massa final","gorgonzola","provolone"
"460","refrigerante","borda tradicional","frango","bacon",NA,NA,NA,"massa grossa","mussarela","gorgonzola"
"461","refrigerante","sabor catupiry","carne seca","milho","orégano","bacon","azeitona","massa tradicional","catupiry","mussarela"
"462","limonada","sabor catupiry","atum","cebolinha","tomate","camarão","orégano","massa tradicional","queijo coalho","gorgonzola"
"463","cerveja","cheddar","bacon","alho","rúcula","cebola caramelizada","pimenta calabresa","massa final","provolone","ricota"
"464","suco de maracujá","sabor catupiry","frango","bacon","cebola","tomate","linguiça calabresa defumada","massa tradicional","mussarela","catupiry"
"465","refrigerante","sabor catupiry","azeite de oliva","palmito","pimenta calabresa","queijo coalho grelhado","azeitona","massa tradicional","mussarela",NA
"466","suco de laranja","cream cheese","cebola","tomate","milho","bacon","frango","massa final","queijo coalho","mussarela"
"467","vinho tinto","sabor catupiry","azeitona","alho","anchova","presunto","cogumelos","massa final","cheddar","catupiry"
"468","refrigerante","sabor catupiry","tomate","frango","bacon","calabresa","carne moída","massa final","mussarela","catupiry"
"469","refrigerante","cheddar","frango","tomate",NA,NA,NA,"massa tradicional","mussarela","catupiry"
"470","suco de laranja","sabor catupiry","alho","camarão","cebola","rúcula","tomate","massa tradicional","catupiry","ricota"
"471","água com gás","sabor catupiry","pepperoni","cebola","bacon","pimenta calabresa","azeitona","massa final","provolone","parmesão"
"472","refrigerante","cream cheese","calabresa","frango","bacon","cebola","ovo","massa tradicional","mussarela","catupiry"
"473","cerveja","cheddar","orégano","tomate","berinjela","cebola","bacon","massa tradicional","mussarela","provolone"
"474","suco de maracujá","cream cheese","cebola","tomate","palmito","bacon","carne seca","massa tradicional","mussarela","gorgonzola"
"475","refrigerante","cheddar","tomate",NA,"azeitona",NA,NA,"massa final","mussarela","provolone"
"476","suco de laranja","borda tradicional","calabresa","cebola","azeitona","orégano","palmito","massa tradicional","mussarela",NA
"477","refrigerante","borda tradicional","bacon","milho","pepperoni","tomate","azeitona","massa tradicional","mussarela","parmesão"
"478","refrigerante","sabor catupiry","bacon","ovo","tomate seco","cebola","pimentão","massa tradicional","mussarela","parmesão"
"479","água com gás","cream cheese","linguiça calabresa defumada","carne seca","pepperoni","berinjela","bacon","massa integral","queijo coalho","queijo brie"
"480","suco de laranja","sabor catupiry","tomate","tomate seco","espinafre","frango","bacon","massa final","mussarela","parmesão"
"481","cerveja","borda tradicional","presunto","frango","tomate","queijo de cabra","bacon","massa final","mussarela","catupiry"
"482","refrigerante","cream cheese","pepperoni","cogumelos","bacon","abacaxi","azeitona","massa tradicional","mussarela","gorgonzola"
"483","água com gás","sabor catupiry","pepperoni","frango","cogumelos","brócolis","bacon","massa tradicional","parmesão","queijo brie"
"484",NA,"cheddar","brócolis","berinjela","alcaparra","berinjela","pimentão","massa tradicional","parmesão","gorgonzola"
"485","água com gás","cream cheese","calabresa","queijo de cabra","cebola caramelizada","alho-poró",NA,"massa tradicional","parmesão","cheddar"
"486","cerveja","sabor catupiry","pepperoni","presunto","cebola","azeitona","brócolis","massa tradicional","mussarela","catupiry"
"487","refrigerante","borda tradicional","azeitona","tomate","cebola","linguiça calabresa defumada","bacon","massa final","catupiry","mussarela"
"488","suco de uva","borda tradicional","frango","cebola","alho","azeitona","milho","massa tradicional","parmesão","catupiry"
"489",NA,"borda tradicional","tomate","azeitona","rúcula",NA,NA,"massa tradicional","mussarela",NA
"490","vinho tinto","borda tradicional","azeitona","palmito","bacon","cebola","tomate","massa final","provolone","gorgonzola"
"491","suco de laranja","cheddar","presunto","pepperoni","cogumelos","tomate seco","carne moída","massa tradicional","cheddar","provolone"
"492","refrigerante","sabor catupiry","calabresa","presunto","tomate","pimentão","ovo","massa tradicional","mussarela","queijo brie"
"493","refrigerante","borda tradicional","presunto","tomate","bacon","ovo","pimentão assado","massa tradicional","mussarela","gorgonzola"
"494","refrigerante","borda tradicional","alho","tomate","bacon","cebola","pimentão","massa tradicional","mussarela","parmesão"
"495","cerveja","cream cheese","pepperoni","azeite de oliva","presunto","frango","azeitona","massa tradicional","parmesão","mussarela"
"496","refrigerante","cream cheese","pepperoni","cebola caramelizada","cogumelos","azeitona","palmito","massa final","mussarela","parmesão"
"497","refrigerante","borda tradicional","tomate","bacon","calabresa","palmito","frango","massa final","parmesão","parmesão"
"498","suco de abacaxi","cream cheese","tomate","azeitona","cogumelos","alcaparra","pepperoni","massa integral","mussarela","ricota"
"499","suco de uva","cheddar","frango","queijo cheddar","alho","bacon","pepperoni","massa tradicional","parmesão","provolone"
"500","vinho tinto","borda tradicional","mel","abacate","pepperoni","uva passa","presunto","massa final","mussarela","parmesão"
"501","cerveja","cream cheese","brócolis","alho","bacon","orégano","cebola","massa final","mussarela","catupiry"
"502","vinho tinto","sabor catupiry","pepperoni","alho","carne seca","brócolis","bacon","massa tradicional","mussarela","gorgonzola"
"503","limonada","borda tradicional","pepperoni","azeite de oliva","cogumelos","cebola","azeitona","massa tradicional","mussarela","parmesão"
"504","cerveja","sabor catupiry","brócolis","cebola","alho","milho","bacon","massa grossa","catupiry","parmesão"
"505","suco de abacaxi","sabor catupiry","pepperoni","rúcula","alho","tomate seco","carne seca","massa final","mussarela","queijo brie"
"506","refrigerante","cream cheese","alho-poró","bacon","frango","calabresa","alho","massa tradicional","mussarela","cheddar"
"507","chá gelado","borda tradicional","cebola","calabresa","orégano","alho-poró","salsinha","massa tradicional","mussarela","parmesão"
"508","vinho tinto","borda tradicional","pepperoni","tomate","alho","orégano",NA,"massa grossa","mussarela","gorgonzola"
"509","cerveja","cheddar","tomate","cogumelos","calabresa","palmito","tomate seco","massa tradicional","mussarela","provolone"
"510","suco de laranja","sabor catupiry","tomate","cebola","pimentão","calabresa","presunto","massa integral","mussarela","parmesão"
"511","cerveja","borda tradicional","palmito","camarão","tomate","azeitona","bacon","massa tradicional","mussarela","queijo feta"
"512","refrigerante","sabor catupiry","frango","alho","orégano","ovo","cebola caramelizada","massa tradicional","mussarela","queijo coalho"
"513","suco de laranja","cheddar","calabresa","bacon","cebola","azeitona","mel","massa tradicional","mussarela","parmesão"
"514","cerveja","cream cheese","pepperoni","calabresa","bacon","tomate","orégano","massa grossa","mussarela","cheddar"
"515","refrigerante","cheddar","anchova","pepperoni","cogumelos","cebola","carne seca","massa grossa","mussarela","gorgonzola"
"516","suco de abacaxi","borda tradicional","cogumelos","palmito","frango","tomate seco","brócolis","massa final","mussarela","queijo brie"
"517","refrigerante","borda tradicional","cogumelos","cebola","pepperoni","azeitona","queijo gouda","massa final","mussarela","parmesão"
"518","refrigerante","borda tradicional","ovo","camarão","pepperoni","bacon","rúcula","massa final","mussarela","parmesão"
"519",NA,"borda tradicional","bacon","frango","orégano",NA,NA,"massa tradicional","mussarela","parmesão"
"520","cerveja","sabor catupiry","linguiça calabresa defumada","cebola","azeitona","pimenta calabresa","ovo","massa tradicional","mussarela","catupiry"
"521","refrigerante","sabor catupiry","pimentão","bacon","ovo","carne seca","cebola","massa grossa","mussarela","catupiry"
"522","vinho tinto","borda tradicional","tomate","pepperoni","cebola",NA,NA,"massa tradicional","mussarela","parmesão"
"523","suco de abacaxi","cream cheese","rúcula","tomate","azeitona","cebola","carne moída","massa integral","mussarela","queijo coalho"
"524","suco de maracujá","cheddar","milho","cebola","bacon","pepperoni","orégano","massa final","cheddar","provolone"
"525","suco de abacaxi","cheddar","bacon","ovo","cebola",NA,NA,"massa integral","mussarela","catupiry"
"526","refrigerante","borda tradicional","calabresa","presunto","queijo cheddar","cebola","azeitona","massa tradicional","mussarela","cheddar"
"527","água com gás","sabor catupiry","presunto","tomate","azeitona","bacon","anchova","massa grossa","mussarela","catupiry"
"528","água com gás","cheddar","cogumelos","picles","pepperoni","bacon","abacaxi","massa tradicional","mussarela","queijo coalho"
"529","refrigerante","sabor catupiry","pepperoni","calabresa",NA,NA,NA,"massa grossa","mussarela","queijo coalho"
"530","refrigerante","borda tradicional","calabresa","cebola",NA,NA,NA,"massa tradicional","mussarela",NA
"531","suco de laranja","sabor catupiry","cebola","frango","alho","orégano","milho","massa tradicional","mussarela","catupiry"
"532","chá gelado","borda tradicional","pepperoni","tomate","azeitona","azeite de oliva","orégano","massa final","mussarela","parmesão"
